68719476736,IDENTIFIER,1,,$p1,,,3,p1,1,,filter_input-><returnValue>
68719476737,IDENTIFIER,1,,$p1,,,3,p1,1,,filter_input-><returnValue>
68719476738,IDENTIFIER,1,,$p1,,,7,p1,1,,filter_input-><returnValue>
68719476739,IDENTIFIER,1,,$p1,,,7,p1,1,,filter_input-><returnValue>
68719476740,IDENTIFIER,1,,$_GET,,,7,_GET,1,,ANY
68719476741,IDENTIFIER,1,,$x,,,10,x,1,,ANY
68719476742,IDENTIFIER,1,,$_GET,,,10,_GET,1,,ANY
68719476743,IDENTIFIER,1,,$y,,,11,y,1,,string
68719476744,IDENTIFIER,1,,$x,,,12,x,1,,ANY
68719476745,IDENTIFIER,1,,$y,,,13,y,1,,string
68719476746,IDENTIFIER,1,,$x,,,14,x,1,,ANY
68719476747,IDENTIFIER,2,,$y,,,14,y,2,,string
68719476748,IDENTIFIER,1,,$this,,User,4,this,1,,User
68719476749,IDENTIFIER,1,,$this,,,9,this,1,,User
68719476750,IDENTIFIER,2,,$name,,,9,name,2,,string
68719476751,IDENTIFIER,1,,$x,,,12,x,1,,ANY
68719476752,IDENTIFIER,1,,$_GET,,,12,_GET,1,,ANY
68719476753,IDENTIFIER,1,,$x,,,13,x,1,,ANY
68719476754,IDENTIFIER,1,,$user1,,,17,user1,1,,User
68719476755,IDENTIFIER,1,,$tmp0,,,17,tmp0,1,,User
68719476756,IDENTIFIER,0,,$tmp0,,,17,tmp0,1,,User
68719476757,IDENTIFIER,1,,$tmp0,,,17,tmp0,3,,User
68719476758,IDENTIFIER,1,,$user2,,,18,user2,1,,User
68719476759,IDENTIFIER,1,,$tmp1,,,18,tmp1,1,,User
68719476760,IDENTIFIER,0,,$tmp1,,,18,tmp1,1,,User
68719476761,IDENTIFIER,1,,$tmp1,,,18,tmp1,3,,User
68719476762,IDENTIFIER,0,,$user1,,,19,user1,1,,User
68719476763,IDENTIFIER,0,,$user2,,,20,user2,1,,User
68719476764,IDENTIFIER,1,,$unsan,,,22,unsan,1,,User->get_name-><returnValue>
68719476765,IDENTIFIER,0,,$user1,,,22,user1,1,,User
68719476766,IDENTIFIER,1,,$input,,,2,input,1,,ANY
68719476767,IDENTIFIER,1,,$_GET,,,2,_GET,1,,ANY
68719476768,IDENTIFIER,2,,$input,,,4,input,2,,ANY
68719476769,IDENTIFIER,1,,<global>,,,5,<global>,1,,ANY
68719476770,IDENTIFIER,1,,<global>,,,6,<global>,1,,ANY
68719476771,IDENTIFIER,1,,$x,,,3,x,1,,getX-><returnValue>
68719476772,IDENTIFIER,1,,$y,,,4,y,1,,getY-><returnValue>
68719476773,IDENTIFIER,1,,$x,,,5,x,1,,getX-><returnValue>
68719476774,IDENTIFIER,2,,$y,,,5,y,2,,getY-><returnValue>
68719476775,IDENTIFIER,1,,$y,,,6,y,1,,getY-><returnValue>
68719476776,IDENTIFIER,1,,$x,,,2,x,1,,string
68719476777,IDENTIFIER,1,,$y,,,3,y,1,,ANY
68719476778,IDENTIFIER,1,,$_GET,,,3,_GET,1,,ANY
68719476779,IDENTIFIER,1,,$x,,,4,x,1,,string
68719476780,IDENTIFIER,1,,$y,,,5,y,1,,ANY
68719476781,IDENTIFIER,1,,$x,,,2,x,1,,int
68719476782,IDENTIFIER,1,,$y,,,3,y,1,,ANY
68719476783,IDENTIFIER,1,,$x,,,3,x,1,,int
68719476784,IDENTIFIER,1,,$x,,,4,x,1,,int
68719476785,IDENTIFIER,1,,$x,,,4,x,1,,int
68719476786,IDENTIFIER,2,,$y,,,4,y,2,,ANY
68719476787,IDENTIFIER,1,,$x,,,2,x,1,,int
68719476788,IDENTIFIER,1,,$y,,,3,y,1,,ANY
68719476789,IDENTIFIER,1,,$x,,,3,x,1,,int
68719476790,IDENTIFIER,1,,$_GET,,,3,_GET,1,,ANY
68719476791,IDENTIFIER,1,,$x,,,4,x,1,,int
68719476792,IDENTIFIER,1,,$x,,,4,x,1,,int
68719476793,IDENTIFIER,2,,$y,,,4,y,2,,ANY
68719476794,IDENTIFIER,1,,$y,,,3,y,1,,ANY
68719476795,IDENTIFIER,2,,$x,,,3,x,2,,filter_input-><returnValue>
68719476796,IDENTIFIER,1,,$x,,,4,x,1,,filter_input-><returnValue>
68719476797,IDENTIFIER,1,,$y,,,4,y,1,,ANY
68719476798,IDENTIFIER,1,,$x,,,5,x,1,,filter_input-><returnValue>
68719476799,IDENTIFIER,1,,$x,,,3,x,1,,ANY
68719476800,IDENTIFIER,1,,$_GET,,,3,_GET,1,,ANY
68719476801,IDENTIFIER,1,,$x,,,4,x,1,,ANY
68719476802,IDENTIFIER,1,,$y,,,7,y,1,,ANY
68719476803,IDENTIFIER,1,,$y,,,8,y,1,,ANY
68719476804,IDENTIFIER,1,,$z,,,11,z,1,,ANY
68719476805,IDENTIFIER,1,,$_POST,,,11,_POST,1,,ANY
68719476806,IDENTIFIER,1,,$query,,,3,query,1,,ANY
68719476807,IDENTIFIER,2,,$id,,,3,id,2,,ANY
68719476808,IDENTIFIER,2,,$name,,,3,name,2,,mysql_escape_string-><returnValue>
68719476809,IDENTIFIER,2,,$psswd,,,3,psswd,2,,ANY
68719476810,IDENTIFIER,1,,$query,,,4,query,1,,ANY
68719476811,IDENTIFIER,1,,$user_id,,,7,user_id,1,,int
68719476812,IDENTIFIER,1,,$_COOKIE,,,7,_COOKIE,1,,ANY
68719476813,IDENTIFIER,1,,$username,,,8,username,1,,ANY
68719476814,IDENTIFIER,1,,$_POST,,,8,_POST,1,,ANY
68719476815,IDENTIFIER,1,,$name,,,9,name,1,,mysql_escape_string-><returnValue>
68719476816,IDENTIFIER,1,,$username,,,9,username,1,,ANY
68719476817,IDENTIFIER,1,,$password,,,10,password,1,,ANY
68719476818,IDENTIFIER,1,,$_POST,,,10,_POST,1,,ANY
68719476819,IDENTIFIER,1,,$data,,,12,data,1,,getCustomerData-><returnValue>
68719476820,IDENTIFIER,1,,$user_id,,,12,user_id,1,,int
68719476821,IDENTIFIER,2,,$name,,,12,name,2,,mysql_escape_string-><returnValue>
68719476822,IDENTIFIER,3,,$password,,,12,password,3,,ANY
68719476823,IDENTIFIER,1,,$data,,,13,data,1,,getCustomerData-><returnValue>
68719476824,IDENTIFIER,1,,$name,,,2,name,1,,ANY
68719476825,IDENTIFIER,1,,$_GET,,,2,_GET,1,,ANY
68719476826,IDENTIFIER,1,,$name,,,3,name,1,,ANY
68719476827,IDENTIFIER,1,,$name,,,2,name,1,,ANY
68719476828,IDENTIFIER,1,,$_GET,,,2,_GET,1,,ANY
68719476829,IDENTIFIER,2,,$name,,,3,name,2,,ANY
68719476830,IDENTIFIER,1,,$n,,,3,n,1,,ANY
68719476831,IDENTIFIER,1,,$n,,,4,n,1,,ANY
68719476832,IDENTIFIER,1,,$n,,,4,n,1,,ANY
68719476833,IDENTIFIER,1,,$x,,,2,x,1,,ANY
68719476834,IDENTIFIER,1,,$_GET,,,2,_GET,1,,ANY
68719476835,IDENTIFIER,1,,$x,,,3,x,1,,ANY
68719476836,IDENTIFIER,1,,$x,,,4,x,1,,ANY
