94489280512,LOCAL,,$_GET,,,<empty>,10,_GET,1,,ANY
94489280513,LOCAL,,$x,,,<empty>,10,x,2,,ANY
94489280514,LOCAL,,$y,,,<empty>,11,y,3,,string
94489280515,LOCAL,,$_GET,,,<empty>,7,_GET,1,,ANY
94489280516,LOCAL,,$tmp0,,,<empty>,17,tmp0,1,,User
94489280517,LOCAL,,$tmp1,,,<empty>,18,tmp1,2,,User
94489280518,LOCAL,,$unsan,,,<empty>,22,unsan,3,,User->get_name-><returnValue>
94489280519,LOCAL,,$user1,,,<empty>,17,user1,4,,User
94489280520,LOCAL,,$user2,,,<empty>,18,user2,5,,User
94489280521,LOCAL,,$_GET,,,<empty>,12,_GET,1,,ANY
94489280522,LOCAL,,$x,,,<empty>,12,x,2,,ANY
94489280523,LOCAL,,$<global>,,,<empty>,5,<global>,1,,ANY
94489280524,LOCAL,,$_GET,,,<empty>,2,_GET,2,,ANY
94489280525,LOCAL,,$input,,,<empty>,2,input,3,,ANY
94489280526,LOCAL,,$x,,,<empty>,3,x,1,,getX-><returnValue>
94489280527,LOCAL,,$y,,,<empty>,4,y,2,,getY-><returnValue>
94489280528,LOCAL,,$_GET,,,<empty>,3,_GET,1,,ANY
94489280529,LOCAL,,$x,,,<empty>,2,x,2,,string
94489280530,LOCAL,,$y,,,<empty>,3,y,3,,ANY
94489280531,LOCAL,,$x,,,<empty>,2,x,1,,int
94489280532,LOCAL,,$y,,,<empty>,3,y,2,,ANY
94489280533,LOCAL,,$_GET,,,<empty>,3,_GET,1,,ANY
94489280534,LOCAL,,$x,,,<empty>,2,x,2,,int
94489280535,LOCAL,,$y,,,<empty>,3,y,3,,ANY
94489280536,LOCAL,,$y,,,<empty>,3,y,1,,ANY
94489280537,LOCAL,,$_POST,,,<empty>,11,_POST,1,,ANY
94489280538,LOCAL,,$z,,,<empty>,11,z,2,,ANY
94489280539,LOCAL,,$_GET,,,<empty>,3,_GET,1,,ANY
94489280540,LOCAL,,$x,,,<empty>,3,x,2,,ANY
94489280541,LOCAL,,$y,,,<empty>,7,y,1,,ANY
94489280542,LOCAL,,$_COOKIE,,,<empty>,7,_COOKIE,1,,ANY
94489280543,LOCAL,,$_POST,,,<empty>,8,_POST,2,,ANY
94489280544,LOCAL,,$data,,,<empty>,12,data,3,,getCustomerData-><returnValue>
94489280545,LOCAL,,$password,,,<empty>,10,password,4,,ANY
94489280546,LOCAL,,$user_id,,,<empty>,7,user_id,5,,int
94489280547,LOCAL,,$username,,,<empty>,8,username,6,,ANY
94489280548,LOCAL,,$query,,,<empty>,3,query,1,,ANY
94489280549,LOCAL,,$_GET,,,<empty>,2,_GET,1,,ANY
94489280550,LOCAL,,$name,,,<empty>,2,name,2,,ANY
94489280551,LOCAL,,$_GET,,,<empty>,2,_GET,1,,ANY
94489280552,LOCAL,,$name,,,<empty>,2,name,2,,ANY
94489280553,LOCAL,,$_GET,,,<empty>,2,_GET,1,,ANY
94489280554,LOCAL,,$x,,,<empty>,2,x,2,,ANY
