SELECT; "SELECT category .cat_desc , category .cat_id FROM category ORDER BY category .cat_desc ASC"; category; "category, catdesc, , catid"; ""; false
SELECT; "SELECT category .cat_desc FROM category WHERE category .cat_id = $cat_id"; category; "category, catdesc"; "$cat_id"; false
INSERT; "INSERT INTO posts SET user_id= $user_id , subject= $subject , message= $message , timestamp= $timestamp , cat_id= $cat_id"; posts; "post_id, user_id, subject, message, timestamp, cat_id, allow_tb"; ""; false
SELECT; "SELECT id, user, level FROM user WHERE user= $username"; user; "id, user, level"; "$username"; false
SELECT; "SELECT cat_id, cat_desc FROM category"; category; "catid, catdesc"; ""; false
SELECT; "SELECT cat_desc FROM category WHERE cat_desc= $cat_desc"; category; "catdesc"; "$cat_desc"; false
INSERT; "INSERT INTO category SET cat_desc= $cat_desc"; category; "cat_id, cat_desc"; ""; false
SELECT; "SELECT id, user, level FROM user WHERE user= $username"; user; "id, user, level"; "$username"; false
SELECT; "SELECT user FROM user WHERE user= $user"; user; "user"; "$user"; false
INSERT; "INSERT INTO user SET user= $user , password= $password , level= $level"; user; "user, id, password, level, session_time"; ""; false
SELECT; "SELECT id, user, level FROM user WHERE user= $username"; user; "id, user, level"; "$username"; false
SELECT; "SELECT COUNT(p.comment_id) AS num_comments FROM comment p"; comment; "pcommentid"; ""; true
SELECT; "SELECT * FROM comment Order by comment .com_tstamp ASC, comment .comment_type ASC LIMIT $pageno , $editlimit"; comment; "comment_id, post_id, comment_subject, com_tstamp, poster, email, home, comments, comment_type, ip"; ""; false
SELECT; "SELECT DISTINCT DATE_FORMAT( FROM_UNIXTIME( timestamp ) , %m ) AS m, DATE_FORMAT( FROM_UNIXTIME( timestamp ) , %Y ) AS y, COUNT( m ) as t FROM posts WHERE posts .timestamp<= $timestamp GROUP BY m ORDER BY y DESC, DATE_FORMAT( FROM_UNIXTIME( timestamp ) , %m ) DESC LIMIT 0 , $archivelimit"; posts; "distinct, , fromunix, timestamp, m, y"; "$timestamp, $archivelimit"; true
SELECT; "SELECT COUNT(p.post_id) AS num_posts FROM posts p"; posts; "ppostid"; ""; true
SELECT; "SELECT category .cat_desc, posts .cat_id, category .cat_id, posts .post_id, posts .subject, posts .message, user .user, posts .timestamp, user .id, posts .user_id FROM posts , user , category WHERE posts .user_id= user .id AND category .cat_id= posts .cat_id AND posts .timestamp<= $timestamp Order by posts .timestamp DESC, posts .post_id DESC LIMIT $pageno , $bloglimit"; category; "category, catdesc, posts, catid, postid, subject, message, user, timestamp, id, userid"; "".user_id=", $timestamp, $pageno, $bloglimit"; false
SELECT; "SELECT comment_id FROM comment WHERE comment .post_id = $row[post_id] and comment_type!=trackback"; comment; "commentid"; "$row["post_id"]"; true
SELECT; "SELECT comment_id FROM comment WHERE comment .post_id = $row[post_id] and comment_type=trackback"; comment; "commentid"; "$row["post_id"]"; true
SELECT; "SELECT * FROM posts WHERE DATE_FORMAT(FROM_UNIXTIME(timestamp) , %e) = $date_no AND DATE_FORMAT(FROM_UNIXTIME(timestamp) , %Y) = $year AND DATE_FORMAT(FROM_UNIXTIME(timestamp) , %c) = $month_no AND posts .timestamp<= $timestamp"; posts; "post_id, user_id, subject, message, timestamp, cat_id, allow_tb"; "$date_no, $year, $month_no, $timestamp"; false
SELECT; "SELECT DISTINCT posts .cat_id AS c, category .cat_id, category .cat_desc, COUNT( c ) as z FROM posts , category WHERE posts .cat_id = category .cat_id AND posts .timestamp<= $timestamp GROUP BY c ORDER BY category .cat_desc ASC"; category; "distinct, posts, catid, c, category, catdesc, "; "$timestamp"; false
SELECT; "SELECT COUNT(p.comment_id) AS num_comments FROM comment p WHERE p.post_id = $post_id"; comment; "pcommentid"; "$post_id"; true
SELECT; "SELECT category .cat_desc, posts .cat_id, category .cat_id, posts .post_id, posts .subject, posts .message, user .user, posts .timestamp, user .id, posts .user_id FROM posts , user , category WHERE posts .user_id= user .id AND category .cat_id= posts .cat_id AND posts .post_id= $post_id"; category; "category, catdesc, posts, catid, postid, subject, message, user, timestamp, id, userid"; "".user_id=", $post_id"; false
SELECT; "SELECT * FROM comment WHERE comment .post_id = $post_id Order by comment .com_tstamp ASC, comment .comment_type ASC"; comment; "comment_id, post_id, comment_subject, com_tstamp, poster, email, home, comments, comment_type, ip"; "$post_id"; false
SELECT; "SELECT id, user, level FROM user WHERE user= $username"; user; "id, user, level"; "$username"; false
