4,LOCAL,,$host,,,4,host,1,ANY
6,LOCAL,,$user,,,5,user,2,ANY
8,LOCAL,,$password,,,6,password,3,ANY
10,LOCAL,,$dbname,,,7,dbname,4,ANY
12,LOCAL,,$link,,,9,link,5,ANY
55,LOCAL,,$query_selecta_topic,,,5,query_selecta_topic,1,ANY
57,LOCAL,,$r,,,6,r,2,ANY
60,LOCAL,,$roba,,,8,roba,3,ANY
63,LOCAL,,$data,,,10,data,4,ANY
66,LOCAL,,$_GET,,,11,_GET,5,ANY
88,LOCAL,,$query_risposte,,,43,query_risposte,1,ANY
92,LOCAL,,$result,,,44,result,2,ANY
95,LOCAL,,$risp,,,45,risp,3,ANY
105,LOCAL,,$rere,,,51,rere,4,ANY
108,LOCAL,,$query_re_re,,,54,query_re_re,5,ANY
339,LOCAL,,$cosa,,,3,cosa,1,ANY
341,LOCAL,,$HTTP_POST_VARS,,,3,HTTP_POST_VARS,2,ANY
344,LOCAL,,$dbname,,,6,dbname,3,ANY
347,LOCAL,,$db,,,29,db,1,ANY
351,LOCAL,,$query_table_forum,,,31,query_table_forum,2,ANY
353,LOCAL,,$result,,,41,result,3,ANY
425,LOCAL,,$id,,,5,id,1,ANY
427,LOCAL,,$_GET,,,5,_GET,2,ANY
429,LOCAL,,$rd,,,6,rd,3,ANY
433,LOCAL,,$query_caga_messaggio,,,9,query_caga_messaggio,4,ANY
439,LOCAL,,$w,,,16,w,5,ANY
442,LOCAL,,$leggi,,,17,leggi,6,ANY
445,LOCAL,,$data,,,19,data,7,ANY
453,LOCAL,,$idrisp,,,24,idrisp,8,ANY
460,LOCAL,,$query_caga_thread,,,43,query_caga_thread,9,ANY
463,LOCAL,,$r,,,44,r,10,ANY
466,LOCAL,,$risp,,,45,risp,11,ANY
472,LOCAL,,$query_sbobba,,,52,query_sbobba,1,ANY
476,LOCAL,,$f,,,53,f,2,ANY
479,LOCAL,,$sbobba,,,54,sbobba,3,ANY
498,LOCAL,,$query_risposte,,,75,query_risposte,1,ANY
502,LOCAL,,$re,,,76,re,2,ANY
784,LOCAL,,$postatoda,,,4,postatoda,1,ANY
786,LOCAL,,$_POST,,,4,_POST,2,ANY
788,LOCAL,,$titolo,,,5,titolo,3,ANY
791,LOCAL,,$testo,,,6,testo,4,ANY
794,LOCAL,,$destroy,,,8,destroy,5,ANY
797,LOCAL,,$pezzi,,,9,pezzi,6,ANY
800,LOCAL,,$i,,,10,i,7,ANY
807,LOCAL,,$testonuovo,,,14,testonuovo,8,ANY
817,LOCAL,,$rispostadel,,,22,rispostadel,9,ANY
820,LOCAL,,$data,,,23,data,10,ANY
822,LOCAL,,$query_ins_risposta,,,24,query_ins_risposta,11,ANY
829,LOCAL,,$r,,,25,r,12,ANY
912,LOCAL,,$postatoda,,,5,postatoda,1,ANY
914,LOCAL,,$_POST,,,5,_POST,2,ANY
916,LOCAL,,$titolo,,,6,titolo,3,ANY
919,LOCAL,,$testo,,,7,testo,4,ANY
922,LOCAL,,$destroy,,,9,destroy,5,ANY
925,LOCAL,,$pezzi,,,10,pezzi,6,ANY
928,LOCAL,,$i,,,11,i,7,ANY
935,LOCAL,,$testonuovo,,,15,testonuovo,8,ANY
951,LOCAL,,$data,,,37,data,9,ANY
953,LOCAL,,$query_ins_post,,,38,query_ins_post,10,ANY
