3,13,REACHING_DEF,$host
3,21,REACHING_DEF,$host
5,23,REACHING_DEF,$user
5,14,REACHING_DEF,$user
7,25,REACHING_DEF,$password
7,15,REACHING_DEF,$password
9,16,REACHING_DEF,$dbname
9,27,REACHING_DEF,$dbname
11,30,REACHING_DEF,$link
11,43,REACHING_DEF,$link
13,14,REACHING_DEF,$host
13,15,REACHING_DEF,$host
13,31,REACHING_DEF,$host
13,43,REACHING_DEF,$host
14,13,REACHING_DEF,$user
14,15,REACHING_DEF,$user
14,31,REACHING_DEF,$user
14,43,REACHING_DEF,$user
15,13,REACHING_DEF,$password
15,14,REACHING_DEF,$password
15,31,REACHING_DEF,$password
15,43,REACHING_DEF,$password
16,37,REACHING_DEF,$dbname
16,43,REACHING_DEF,$dbname
19,39,REACHING_DEF,
19,15,REACHING_DEF,
19,14,REACHING_DEF,
19,22,REACHING_DEF,
19,35,REACHING_DEF,
19,16,REACHING_DEF,
19,24,REACHING_DEF,
19,26,REACHING_DEF,
19,34,REACHING_DEF,
19,13,REACHING_DEF,
19,28,REACHING_DEF,
21,43,REACHING_DEF,"$host = ""IL.TUO.OST"""
22,3,REACHING_DEF,"""IL.TUO.OST"""
22,21,REACHING_DEF,"""IL.TUO.OST"""
23,43,REACHING_DEF,"$user = ""USER"""
24,5,REACHING_DEF,"""USER"""
24,23,REACHING_DEF,"""USER"""
25,43,REACHING_DEF,"$password = ""PASSWORD"""
26,7,REACHING_DEF,"""PASSWORD"""
26,25,REACHING_DEF,"""PASSWORD"""
27,43,REACHING_DEF,"$dbname = ""NOME_DATABASE"""
28,9,REACHING_DEF,"""NOME_DATABASE"""
28,27,REACHING_DEF,"""NOME_DATABASE"""
29,43,REACHING_DEF,"$link = mysql_connect($host,$user,$password) || exit(""Could not connect: "" . mysql_error())"
30,32,REACHING_DEF,"$link = mysql_connect($host,$user,$password)"
30,29,REACHING_DEF,"$link = mysql_connect($host,$user,$password)"
30,43,REACHING_DEF,"$link = mysql_connect($host,$user,$password)"
31,11,REACHING_DEF,"mysql_connect($host,$user,$password)"
31,30,REACHING_DEF,"mysql_connect($host,$user,$password)"
31,43,REACHING_DEF,"mysql_connect($host,$user,$password)"
33,32,REACHING_DEF,"""Could not connect: "" . mysql_error()"
33,43,REACHING_DEF,"""Could not connect: "" . mysql_error()"
34,35,REACHING_DEF,"""Could not connect: """
34,33,REACHING_DEF,"""Could not connect: """
35,33,REACHING_DEF,mysql_error()
35,43,REACHING_DEF,mysql_error()
36,43,REACHING_DEF,"mysql_select_db($dbname) || exit(""cosa?"")"
37,38,REACHING_DEF,mysql_select_db($dbname)
37,36,REACHING_DEF,mysql_select_db($dbname)
37,43,REACHING_DEF,mysql_select_db($dbname)
39,38,REACHING_DEF,"""cosa?"""
46,49,REACHING_DEF,
48,53,REACHING_DEF,"echo ""</div>\npowered by <a href=\""http://sourceforge.net/projects/geccnuke\"">geccBBlite 1.0</a>\n</body>\n</html> \n"""
49,48,REACHING_DEF,"""</div>\npowered by <a href=\""http://sourceforge.net/projects/geccnuke\"">geccBBlite 1.0</a>\n</body>\n</html> \n"""
54,58,REACHING_DEF,$query_selecta_topic
54,121,REACHING_DEF,$query_selecta_topic
56,124,REACHING_DEF,$r
56,61,REACHING_DEF,$r
58,125,REACHING_DEF,$query_selecta_topic
58,315,REACHING_DEF,$query_selecta_topic
59,76,REACHING_DEF,$roba
59,84,REACHING_DEF,$roba
59,67,REACHING_DEF,$roba
59,64,REACHING_DEF,$roba
59,82,REACHING_DEF,$roba
59,85,REACHING_DEF,$roba
59,70,REACHING_DEF,$roba
59,75,REACHING_DEF,$roba
59,77,REACHING_DEF,$roba
59,79,REACHING_DEF,$roba
59,68,REACHING_DEF,$roba
59,83,REACHING_DEF,$roba
