90,METHOD_PARAMETER_IN,$id_risposta,,,BY_VALUE,1,false,41,id_risposta,1,ANY
349,METHOD_PARAMETER_IN,$dbname,,,BY_VALUE,1,false,27,dbname,1,ANY
474,METHOD_PARAMETER_IN,$rif,,,BY_VALUE,1,false,50,rif,1,ANY
484,METHOD_PARAMETER_IN,$rd,,,BY_VALUE,3,false,50,rd,3,ANY
495,METHOD_PARAMETER_IN,$idpost,,,BY_VALUE,2,false,50,idpost,2,ANY
500,METHOD_PARAMETER_IN,$rif,,,BY_VALUE,1,false,73,rif,1,ANY
510,METHOD_PARAMETER_IN,$rd,,,BY_VALUE,3,false,73,rd,3,ANY
513,METHOD_PARAMETER_IN,$idpost,,,BY_VALUE,2,false,73,idpost,2,ANY
1074,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1075,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1079,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1080,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1084,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1085,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1086,METHOD_PARAMETER_IN,p3,,,BY_VALUE,3,false,,p3,3,ANY
1090,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1094,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1095,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1102,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1106,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1110,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1114,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1118,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1122,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1123,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1127,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1128,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1132,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1133,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1137,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1141,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1142,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1143,METHOD_PARAMETER_IN,p3,,,BY_VALUE,3,false,,p3,3,ANY
1144,METHOD_PARAMETER_IN,p4,,,BY_VALUE,4,false,,p4,4,ANY
1145,METHOD_PARAMETER_IN,p5,,,BY_VALUE,5,false,,p5,5,ANY
1146,METHOD_PARAMETER_IN,p6,,,BY_VALUE,6,false,,p6,6,ANY
1147,METHOD_PARAMETER_IN,p7,,,BY_VALUE,7,false,,p7,7,ANY
1148,METHOD_PARAMETER_IN,p8,,,BY_VALUE,8,false,,p8,8,ANY
1149,METHOD_PARAMETER_IN,p9,,,BY_VALUE,9,false,,p9,9,ANY
1153,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1154,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1158,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1159,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1163,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1164,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1171,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1172,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1176,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1180,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1184,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1185,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1189,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1193,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1194,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1198,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1202,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1203,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
1207,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1211,METHOD_PARAMETER_IN,p1,,,BY_VALUE,1,false,,p1,1,ANY
1212,METHOD_PARAMETER_IN,p2,,,BY_VALUE,2,false,,p2,2,ANY
