140,FIELD_IDENTIFIER,2,,data,data,,10,2
146,FIELD_IDENTIFIER,2,,azione,azione,,11,2
176,FIELD_IDENTIFIER,2,,azione,azione,,19,2
184,FIELD_IDENTIFIER,2,,id,id,,21,2
188,FIELD_IDENTIFIER,2,,id,id,,21,2
210,FIELD_IDENTIFIER,2,,id,id,,27,2
217,FIELD_IDENTIFIER,2,,id,id,,29,2
221,FIELD_IDENTIFIER,2,,id,id,,29,2
265,FIELD_IDENTIFIER,2,,data,data,,47,2
299,FIELD_IDENTIFIER,2,,id,id,,55,2
365,FIELD_IDENTIFIER,2,,cosa,cosa,,3,2
535,FIELD_IDENTIFIER,2,,id,id,,5,2
540,FIELD_IDENTIFIER,2,,rd,rd,,6,2
567,FIELD_IDENTIFIER,2,,data,data,,19,2
583,FIELD_IDENTIFIER,2,,testo,testo,,21,2
589,FIELD_IDENTIFIER,2,,rispostadel,rispostadel,,22,2
596,FIELD_IDENTIFIER,2,,id,id,,24,2
602,FIELD_IDENTIFIER,2,,rispostadel,rispostadel,,28,2
611,FIELD_IDENTIFIER,2,,titolo,titolo,,34,2
618,FIELD_IDENTIFIER,2,,id,id,,36,2
636,FIELD_IDENTIFIER,2,,id,id,,47,2
654,FIELD_IDENTIFIER,2,,data,data,,56,2
696,FIELD_IDENTIFIER,2,,id,id,,68,2
718,FIELD_IDENTIFIER,2,,data,data,,79,2
726,FIELD_IDENTIFIER,2,,id,id,,81,2
744,FIELD_IDENTIFIER,2,,id,id,,85,2
762,FIELD_IDENTIFIER,2,,id,id,,90,2
844,FIELD_IDENTIFIER,2,,postatoda,postatoda,,4,2
849,FIELD_IDENTIFIER,2,,titolo,titolo,,5,2
855,FIELD_IDENTIFIER,2,,testo,testo,,6,2
889,FIELD_IDENTIFIER,2,,rispostadel,rispostadel,,22,2
975,FIELD_IDENTIFIER,2,,postatoda,postatoda,,5,2
981,FIELD_IDENTIFIER,2,,titolo,titolo,,6,2
987,FIELD_IDENTIFIER,2,,testo,testo,,7,2
